sample_id,timestamp,room_id,room_type,building_zone,lesson_type,room_area_m2,capacity,occupancy_count,hvac_airflow_m3h,ventilation_level,outdoor_temp_c,indoor_temp_c,humidity_pct,co2_ppm_current,minutes_since_lesson_start,minutes_until_break,noise_level_db,is_exam_period,floor,future_co2_ppm,co2_risk_next_30min
ag-00082,2026-04-23T10:25:00,E-344,seminar,east,exam,69.3,59,57,484.0,0.397,14.7,24.0,65.7,741.9,90,0,67.4,False,7,1003.1,0
ag-00083,2026-05-04T09:10:00,N-472,lecture,north,lecture,76.5,58,68,539.1,0.465,4.3,24.6,72.7,795.2,15,73,66.7,True,3,1135.5,1
ag-00084,2026-05-07T11:30:00,C-308,lab,central,none,37.1,31,22,447.0,0.874,9.5,23.0,57.1,564.8,85,2,47.5,True,2,702.6,0
ag-00085,2026-05-15T08:35:00,W-265,lab,west,practice,55.1,38,34,193.7,0.417,15.0,23.3,65.8,631.1,29,68,64.9,True,1,703.4,0
ag-00086,2026-03-20T14:10:00,S-396,lab,south,exam,34.3,28,29,116.7,0.24,7.3,26.3,80.4,595.0,26,63,75.8,False,2,679.7,0
ag-00087,2026-03-21T10:00:00,W-596,coworking,west,none,61.4,51,18,670.2,0.824,4.3,22.0,55.6,380.0,19,67,51.5,False,2,377.5,0
ag-00088,2026-03-16T09:20:00,E-555,seminar,east,lab,32.4,33,27,360.4,0.691,4.7,26.3,52.6,669.0,47,42,61.2,False,5,726.1,0
ag-00089,2026-03-12T18:15:00,N-231,seminar,north,practice,68.3,48,42,383.7,0.402,9.9,26.3,63.7,713.0,66,21,60.2,False,5,828.6,0
ag-00090,2026-04-30T17:55:00,N-517,coworking,north,lecture,34.9,37,28,274.9,0.48,15.2,24.0,57.1,695.0,70,13,52.1,False,4,835.6,0
ag-00091,2026-04-11T16:10:00,S-449,lab,south,practice,55.4,41,30,382.7,0.43,12.7,23.9,69.0,751.6,87,12,55.4,False,4,870.7,0
ag-00092,2026-02-27T12:10:00,E-199,lecture,east,exam,107.4,83,73,833.2,0.519,6.1,22.9,78.2,847.6,54,41,55.3,False,4,1091.0,0
ag-00093,2026-03-05T10:25:00,W-294,lab,west,none,23.1,19,7,207.1,0.856,8.7,21.4,64.6,477.5,23,61,58.8,False,3,431.1,0
ag-00094,2026-02-15T17:10:00,C-509,lab,central,lecture,35.8,39,34,369.4,0.514,8.2,23.8,73.7,686.6,28,64,74.9,False,4,734.2,0
ag-00095,2026-04-01T18:45:00,E-484,seminar,east,practice,35.3,27,19,203.9,0.388,16.3,23.1,61.5,598.7,35,57,66.9,False,4,700.3,0
ag-00096,2026-05-19T08:55:00,S-141,lab,south,exam,27.7,20,19,221.7,0.741,12.0,25.3,53.6,567.6,64,35,66.4,True,5,633.3,0
ag-00097,2026-04-14T14:30:00,E-403,lecture,east,lecture,60.3,63,61,485.9,0.21,10.6,27.2,52.3,789.5,10,69,73.9,False,1,1140.6,1
ag-00098,2026-03-08T10:35:00,S-183,lab,south,lecture,38.8,42,25,519.5,0.944,-1.4,23.9,58.3,585.1,62,34,53.1,False,2,785.0,0
ag-00099,2026-05-02T16:40:00,E-589,seminar,east,lab,35.3,32,29,216.8,0.551,16.8,25.6,64.4,636.5,44,46,63.6,True,3,768.9,0
ag-00100,2026-04-18T13:10:00,S-162,lecture,south,practice,131.7,117,52,1015.5,0.812,9.3,21.9,50.1,664.0,30,55,53.2,False,5,803.2,0
ag-00101,2026-02-21T10:05:00,W-228,coworking,west,lab,80.8,56,49,614.0,0.533,3.1,25.7,61.4,755.7,37,61,66.1,False,6,1054.3,1
ag-00102,2026-05-07T08:15:00,W-181,coworking,west,lecture,91.5,72,52,536.3,0.293,8.7,24.6,70.2,773.4,43,51,50.3,True,6,1096.2,0
ag-00103,2026-03-22T09:15:00,W-300,lab,west,none,40.4,41,10,254.6,0.676,3.9,21.5,39.7,540.4,68,22,44.3,False,6,623.7,0
ag-00104,2026-02-28T15:40:00,W-406,lab,west,none,23.2,22,10,166.6,0.738,-3.3,22.0,48.1,587.5,66,30,55.2,False,1,546.1,0
ag-00105,2026-02-17T12:45:00,S-291,seminar,south,lecture,30.2,23,15,230.3,0.43,-4.6,24.7,54.1,573.7,0,72,52.6,False,2,639.2,0
ag-00106,2026-02-23T18:05:00,W-192,seminar,west,lecture,41.2,33,22,385.1,0.611,13.7,23.4,69.4,661.8,36,56,51.7,False,3,729.5,0
ag-00107,2026-03-18T08:25:00,N-189,seminar,north,lecture,59.6,52,55,485.5,0.812,-3.4,25.7,61.9,833.3,61,47,65.6,True,6,1038.9,1
ag-00108,2026-03-20T18:05:00,E-295,lecture,east,lecture,82.3,79,69,506.4,0.185,0.7,24.9,69.5,1008.3,55,36,62.7,False,7,1301.5,1
ag-00109,2026-03-14T16:15:00,W-248,seminar,west,lecture,33.5,28,19,126.8,0.315,11.6,24.1,77.2,498.4,46,41,58.8,False,2,694.4,0
ag-00110,2026-03-14T08:05:00,E-193,seminar,east,lecture,40.1,37,29,242.0,0.581,10.5,25.5,53.7,802.7,67,16,70.0,True,5,1078.1,0
ag-00111,2026-02-09T08:30:00,C-143,coworking,central,lecture,48.8,49,52,355.8,0.646,-0.8,23.2,54.0,654.1,51,40,70.7,True,1,912.9,0
ag-00112,2026-03-04T08:10:00,N-450,lecture,north,practice,90.8,68,44,588.3,0.779,8.0,23.1,70.9,614.6,48,44,53.4,False,4,755.6,0
ag-00113,2026-05-15T10:15:00,W-108,seminar,west,lecture,72.6,60,46,413.1,0.182,16.1,25.2,44.6,756.0,65,26,63.6,True,4,942.1,0
ag-00114,2026-05-04T11:00:00,S-574,lecture,south,lab,78.2,80,79,522.2,0.136,20.4,24.3,71.6,963.2,53,34,68.2,True,5,1388.0,1
ag-00115,2026-04-22T16:30:00,N-495,seminar,north,practice,82.9,63,24,797.1,0.655,6.3,23.6,40.3,630.5,29,73,46.5,False,3,633.0,0
ag-00116,2026-03-13T08:55:00,E-401,lab,east,exam,43.7,32,36,167.4,0.467,2.3,27.0,58.0,659.7,32,58,63.2,False,7,843.6,0
ag-00117,2026-04-27T11:20:00,C-405,lecture,central,lecture,61.6,57,36,321.1,0.285,9.8,25.2,45.6,769.1,70,16,52.5,False,1,903.2,0
ag-00118,2026-04-15T18:30:00,E-532,coworking,east,lecture,39.4,28,24,162.5,0.346,12.3,25.8,67.6,559.2,37,47,68.7,False,6,639.9,0
ag-00119,2026-05-01T12:30:00,W-549,lecture,west,practice,78.3,62,43,462.7,0.337,12.4,24.9,70.9,685.9,63,15,57.7,True,7,933.3,0
ag-00120,2026-03-25T10:40:00,N-261,seminar,north,lecture,35.3,39,31,283.8,0.512,9.3,24.1,57.3,468.1,0,78,58.4,False,4,759.4,0
ag-00121,2026-04-28T11:00:00,N-408,lecture,north,lab,141.5,114,62,684.1,0.277,9.2,23.2,40.0,763.0,28,65,59.7,False,4,1090.8,0
ag-00122,2026-03-10T14:55:00,N-165,lab,north,lab,36.4,27,20,155.9,0.604,4.4,25.1,50.3,567.9,90,3,61.7,False,1,720.2,0
ag-00123,2026-04-04T16:45:00,C-311,seminar,central,none,26.6,24,4,156.5,0.688,9.4,20.0,53.5,479.8,90,5,54.0,False,4,434.7,0
ag-00124,2026-05-17T18:05:00,N-376,lab,north,none,38.1,35,10,446.5,0.964,15.0,23.8,50.0,456.5,28,69,54.1,True,2,415.5,0
ag-00125,2026-03-13T14:20:00,W-320,lab,west,lecture,35.7,38,32,278.4,0.475,13.7,23.8,64.0,594.1,56,25,65.2,False,7,789.0,0
ag-00126,2026-04-27T08:30:00,N-213,lecture,north,lecture,92.0,73,37,436.2,0.466,15.9,21.4,61.7,681.3,32,64,50.7,False,6,801.4,0
ag-00127,2026-03-22T13:35:00,N-556,lecture,north,exam,95.3,71,57,788.2,0.662,0.9,23.5,70.4,853.1,87,8,55.4,False,7,917.6,0
ag-00128,2026-03-28T17:10:00,W-206,lecture,west,practice,77.7,80,58,936.0,0.702,8.1,25.4,72.5,813.6,54,32,72.2,False,5,980.7,0
ag-00129,2026-02-12T10:35:00,S-504,lecture,south,practice,125.8,111,65,818.6,0.354,6.4,22.6,58.4,1022.3,34,58,53.4,False,7,1382.0,1
ag-00130,2026-04-08T13:05:00,W-315,seminar,west,exam,35.1,26,16,191.7,0.188,3.0,25.8,52.9,696.0,78,12,64.3,False,7,814.4,0
ag-00131,2026-05-07T16:15:00,W-334,lecture,west,lecture,106.8,93,80,743.3,0.241,17.8,21.6,49.6,1189.5,90,0,65.9,True,6,1466.1,1
ag-00132,2026-03-16T13:25:00,W-579,lecture,west,lab,58.7,62,31,376.5,0.515,1.6,22.1,47.6,689.1,56,32,53.5,False,4,777.3,0
ag-00133,2026-02-26T11:00:00,W-311,lecture,west,lab,144.3,102,88,695.2,0.404,4.0,23.1,66.2,1028.2,90,0,63.3,False,5,1339.6,1
ag-00134,2026-04-28T12:30:00,E-442,lecture,east,practice,99.6,108,60,1337.6,0.655,12.7,21.4,58.1,743.5,0,86,59.5,False,1,885.8,0
ag-00135,2026-03-27T16:00:00,S-514,lab,south,practice,46.4,43,29,265.6,0.551,17.3,21.9,54.4,633.5,43,61,55.9,False,7,697.6,0
ag-00136,2026-03-23T10:30:00,N-361,lab,north,practice,52.1,37,20,392.6,0.572,4.7,22.9,64.0,599.3,22,67,56.5,False,3,725.9,0
ag-00137,2026-04-16T16:25:00,N-261,lecture,north,none,112.6,80,36,681.7,0.526,4.8,22.9,55.4,739.1,90,0,41.7,False,2,827.1,0
ag-00138,2026-04-24T09:50:00,C-578,lecture,central,practice,113.6,80,75,469.2,0.477,7.9,23.6,52.3,792.8,7,86,59.1,False,5,1053.2,0
ag-00139,2026-03-30T18:35:00,N-304,lecture,north,practice,100.8,98,50,645.8,0.661,12.0,20.9,52.3,696.6,0,90,46.8,False,2,846.4,0
ag-00140,2026-03-05T14:15:00,S-122,lecture,south,none,116.2,96,21,792.8,0.812,-1.3,23.3,51.8,673.7,71,22,49.1,False,6,840.8,0
ag-00141,2026-05-04T13:20:00,E-204,lab,east,practice,37.0,38,21,401.2,0.955,4.5,21.8,63.0,415.6,25,58,62.5,True,1,434.2,0
ag-00142,2026-02-22T16:35:00,S-191,lab,south,none,45.8,41,14,441.2,0.769,-2.0,21.7,42.1,481.8,53,46,46.3,False,4,488.5,0
ag-00143,2026-02-27T09:10:00,N-374,lecture,north,practice,129.0,101,64,513.6,0.37,6.4,26.1,57.7,926.7,38,64,62.3,False,6,1178.1,1
ag-00144,2026-04-09T17:20:00,S-359,coworking,south,lecture,25.6,22,17,235.6,0.823,9.8,23.5,47.6,498.9,16,72,60.2,False,7,574.3,0
ag-00145,2026-03-05T13:30:00,W-565,seminar,west,practice,41.6,46,35,386.7,0.314,3.6,23.9,40.8,542.2,36,52,59.5,False,5,726.6,0
ag-00146,2026-04-17T17:10:00,W-342,lecture,west,lab,113.8,81,88,891.7,0.676,14.7,25.6,68.0,940.4,36,58,68.8,False,5,1229.1,1
ag-00147,2026-02-15T13:25:00,S-378,lecture,south,lab,92.9,81,41,558.7,0.237,4.7,23.4,62.2,714.7,33,55,49.8,False,2,875.7,0
ag-00148,2026-03-29T12:45:00,C-490,seminar,central,lab,65.1,48,30,426.5,0.912,10.4,21.9,50.9,413.6,26,66,64.3,False,7,425.7,0
ag-00149,2026-04-18T15:30:00,E-198,seminar,east,exam,72.4,55,43,377.8,0.401,1.6,22.9,68.8,705.3,44,34,72.9,False,1,904.1,0
ag-00150,2026-04-26T14:30:00,C-394,seminar,central,practice,32.2,27,10,139.0,0.355,17.8,24.6,48.8,623.6,42,50,54.1,False,7,792.4,0
ag-00151,2026-04-05T08:35:00,C-322,lecture,central,lecture,89.5,96,63,762.5,0.494,16.0,24.4,58.4,714.3,48,41,61.2,False,6,1042.9,0
ag-00152,2026-04-05T10:55:00,N-545,lab,north,lecture,39.7,31,28,206.4,0.222,15.4,23.8,68.4,526.5,23,63,60.1,False,2,628.7,0
ag-00153,2026-02-11T18:30:00,S-337,lecture,south,lecture,122.7,90,62,871.0,0.504,2.4,23.0,44.8,808.3,18,82,59.1,False,3,935.4,0
ag-00154,2026-03-18T17:45:00,N-470,seminar,north,lecture,51.1,52,40,328.9,0.506,1.7,28.1,53.1,681.4,44,34,61.2,False,3,994.4,0
ag-00155,2026-03-04T11:15:00,S-531,lecture,south,lecture,107.9,78,34,498.0,0.699,-0.6,19.7,56.1,614.3,56,32,47.2,False,2,787.2,0
ag-00156,2026-04-09T09:20:00,W-551,coworking,west,lecture,26.3,25,22,211.2,0.334,-0.5,22.2,59.7,628.4,29,50,72.9,False,1,826.2,0
ag-00157,2026-03-08T08:20:00,S-578,seminar,south,practice,76.8,58,41,349.2,0.279,12.3,23.8,67.9,699.2,27,64,59.0,True,6,872.4,0
ag-00158,2026-05-12T17:20:00,W-440,seminar,west,lab,64.8,63,59,521.4,0.516,7.3,25.0,64.9,1016.1,90,6,62.4,True,4,1274.8,1
ag-00159,2026-04-18T10:00:00,N-394,lab,north,lecture,50.3,38,31,487.1,0.803,13.2,24.2,59.4,817.9,71,14,66.9,False,1,1045.9,0
ag-00160,2026-04-18T15:35:00,W-435,lab,west,none,47.6,36,10,422.8,0.753,14.2,22.0,64.3,380.0,17,67,44.8,False,6,328.0,0
ag-00161,2026-02-19T09:55:00,N-186,lab,north,lecture,41.6,36,26,279.5,0.705,5.6,23.3,55.6,416.8,0,81,61.1,False,2,566.3,0
ag-00162,2026-05-17T10:30:00,S-120,lecture,south,practice,91.4,87,52,902.0,0.525,19.0,23.5,34.3,808.1,75,16,52.8,True,7,1089.2,0
ag-00163,2026-03-15T12:50:00,E-184,lecture,east,lecture,70.8,77,57,754.1,0.448,1.4,24.5,57.5,839.1,86,6,62.2,False,4,1137.0,1
ag-00164,2026-03-04T13:50:00,W-271,coworking,west,practice,71.9,65,47,771.8,0.718,7.6,24.7,55.0,788.6,50,49,68.9,False,5,909.6,0
